"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"12",820,347819,10600,7,"10600_1_2_7","East Cascades Oak-Ponderosa Pine Forest and Woodland","Conifer",383,644,31,28,7,4,89,"I-C",205,102,102,0.803921569,0.4,0.4,77353,1.8
"13",773,325677,10390,2,"10390_1_2_3_7","North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Conifer",404,NA,NA,404,100,NA,NA,"V-A",170,227,170,0.666666667,0.890196078,0.666666667,72429,1.7
"14",831,331043,11200,7,"11200_1_2_7","Willamette Valley Upland Prairie and Savanna","Hardwood",288,50,13,10,4,19,77,"I-B",215,215,158,0.843137255,0.843137255,0.619607843,73622,1.7
"15",763,292429,10220,2,"10220_2_3_6_7","Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland","Conifer",231,70,11,9,5,13,82,"I-B",237,139,90,0.929411765,0.545098039,0.352941176,65035,1.5
"16",810,271862,10412,7,"10412_1_7","North Pacific Mountain Hemlock Forest-Xeric","Conifer",294,615,1001,166,56,27,17,"III-B",114,208,242,0.447058824,0.815686275,0.949019608,60461,1.4
"17",772,259814,10370,2,"10370_1_2_7","North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest","Conifer",336,105,NA,80,24,76,NA,"III-A",222,252,222,0.870588235,0.988235294,0.870588235,57781,1.3
"18",770,200243,10350,2,"10350_1_2_7","North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland","Conifer",367,70,90,35,10,50,40,"I-C",137,68,68,0.537254902,0.266666667,0.266666667,44533,1
"19",552,180068,10280,3,"10280_2_3","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Conifer",237,47,25,15,6,33,61,"I-B",84,98,168,0.329411765,0.384313725,0.658823529,40046,0.9
"20",769,139498,10320,2,"10320_2_3_7","Mediterranean California Red Fir Forest","Conifer",189,58,58,25,14,43,43,"I-C",255,59,127,1,0.231372549,0.498039216,31024,0.7
"21",780,137388,11520,2,"11520_2_3_7","California Montane Riparian Systems","Riparian",64,79,NA,35,55,45,NA,"I-C",65,150,167,0.254901961,0.588235294,0.654901961,30554,0.7
