"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"62",7663,914,"North Pacific Shrub Swamp",7663,2663,"Sh North Pacific Shrub Swamp","Shrub","Shrubland",774,"Shrub Swamp","SRM 917: Tall Shrub Swamp","Shrub-dominated","Shrubland","Deciduous shrubland",166,76,17,0.65098,0.298039,0.066667,203,0
"63",7668,1636,"Temperate Pacific Tidal Salt and Brackish Marsh",7668,2668,"He Temperate Pacific Tidal Salt and Brackish Marsh","Herb","Riparian",780,"Tidal Marsh","LF 50: Tidal Flats and Marshes","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",255,153,10,1,0.6,0.039216,364,0
"64",7733,20505,"North Pacific Montane Massive Bedrock-Cliff and Talus",7733,2003,"Sps North Pacific Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,4560,0.1
"65",7734,15553,"North Pacific Alpine and Subalpine Bedrock and Scree",7734,2003,"Sps North Pacific Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,3459,0.1
"66",7900,28197,"Western Cool Temperate Urban Deciduous Forest",7900,2913,"Dtd Urban Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",112,68,137,0.439216,0.266667,0.537255,6271,0.1
"67",7901,381685,"Western Cool Temperate Urban Evergreen Forest",7901,2914,"Dtc Urban Evergreen Forest","Tree","Developed",14,"Developed-Upland Evergreen Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Evergreen open tree canopy",170,102,205,0.666667,0.4,0.803922,84885,1.9
"68",7902,23415,"Western Cool Temperate Urban Mixed Forest",7902,2915,"Dtm Urban Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",194,158,215,0.760784,0.619608,0.843137,5207,0.1
"69",7903,25252,"Western Cool Temperate Urban Herbaceous",7903,2916,"Dgr Urban Herbaceous","Herb","Developed",16,"Developed-Upland Herbaceous","LF 20: Developed","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",202,122,245,0.792157,0.478431,0.960784,5616,0.1
"70",7904,98936,"Western Cool Temperate Urban Shrubland",7904,2917,"Dsh Urban Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",207,171,215,0.811765,0.670588,0.843137,22003,0.5
"71",7920,7258,"Western Cool Temperate Developed Deciduous Forest",7920,2908,"Dtd Developed Deciduous Forest","Tree","Developed",13,"Developed-Upland Deciduous Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Deciduous open tree canopy",64,61,168,0.25098,0.239216,0.658824,1614,0
"72",7921,19050,"Western Cool Temperate Developed Evergreen Forest",7921,2909,"Dtc Developed Evergreen Forest","Tree","Developed",14,"Developed-Upland Evergreen Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Evergreen open tree canopy",102,119,205,0.4,0.466667,0.803922,4237,0.1
"73",7922,6462,"Western Cool Temperate Developed Mixed Forest",7922,2910,"Dtm Developed Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",68,79,137,0.266667,0.309804,0.537255,1437,0
"74",7923,4971,"Western Cool Temperate Developed Shrubland",7923,2912,"Dsh Developed Shrubland","Shrub","Developed",17,"Developed-Upland Shrubland","LF 20: Developed","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",122,142,245,0.478431,0.556863,0.960784,1106,0
"75",7924,9132,"Western Cool Temperate Developed Herbaceous",7924,2911,"Dgr Developed Herbaceous","Herb","Developed",16,"Developed-Upland Herbaceous","LF 20: Developed","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",158,170,215,0.619608,0.666667,0.843137,2031,0
"76",7960,28357,"Western Cool Temperate Orchard",7960,2960,"Dab Orchard","Tree","Agricultural",60,"Agricultural-Orchard","LF 80: Agriculture","Tree-dominated","Open tree canopy","Deciduous open tree canopy",210,28,94,0.823529,0.109804,0.368627,6306,0.1
"77",7961,9478,"Western Cool Temperate Vineyard",7961,2961,"Da Vineyard","Agriculture","Agricultural",61,"Agricultural-Vineyard","LF 80: Agriculture","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",168,0,132,0.658824,0,0.517647,2108,0
"78",7962,118,"Western Cool Temperate Bush fruit and berries",7962,2962,"Dab Bush Fruit and Berries","Shrub","Agricultural",62,"Agricultural-Bush fruit and berries","LF 80: Agriculture","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",210,28,119,0.823529,0.109804,0.466667,26,0
"79",7963,423,"Western Cool Temperate Row Crop - Close Grown Crop",7963,2963,"Da Row Crop - Close Grown Crop","Agriculture","Agricultural",63,"Agricultural-Row Crop-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,245,140,1,0.960784,0.54902,94,0
"80",7964,1475,"Western Cool Temperate Row Crop",7964,2964,"Da Row Crop","Agriculture","Agricultural",64,"Agricultural-Row Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,255,119,0.980392,1,0.466667,328,0
"81",7965,4672,"Western Cool Temperate Close Grown Crop",7965,2965,"Da Close Grown Crop","Agriculture","Agricultural",65,"Agricultural-Close Grown Crop","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,237,119,1,0.929412,0.466667,1039,0
"82",7966,3203,"Western Cool Temperate Fallow/Idle Cropland",7966,2966,"Dab Fallow/Idle Cropland","Herb","Agricultural",66,"Agricultural-Fallow/Idle Cropland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",255,255,119,1,1,0.466667,712,0
"83",7967,609750,"Western Cool Temperate Pasture and Hayland",7967,2967,"Dab Pasture and Hayland","Herb","Agricultural",67,"Agricultural-Pasture and Hayland","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",227,212,28,0.890196,0.831373,0.109804,135605,3.1
"84",7968,6275,"Western Cool Temperate Wheat",7968,2968,"Da Wheat","Agriculture","Agricultural",68,"Agricultural-Wheat","LF 80: Agriculture","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",250,227,163,0.980392,0.890196,0.639216,1396,0
"85",9006,1514,"Inter-Mountain Basins Cliff and Canyon",9006,2001,"Sps Inter-Mountain Basins Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,337,0
"86",9011,1932,"North American Arid West Emergent Marsh",9011,2225,"He North American Arid West Emergent Marsh","Herb","Riparian",765,"Freshwater Marsh","LF 56: Western Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",250,100,56,0.980392,0.392157,0.219608,430,0
"87",9062,458,"Central California Coast Ranges Cliff and Canyon",9062,2002,"Sps Mediterranean California Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,102,0
"88",9110,31661,"Klamath-Siskiyou Cliff and Outcrop",9110,2002,"Sps Mediterranean California Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,7041,0.2
"89",9125,589,"Mediterranean California Alpine Bedrock and Scree",9125,2002,"Sps Mediterranean California Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,131,0
"90",9129,131221,"Mediterranean California Foothill and Lower Montane Riparian Woodland",9129,2152,"Tr California Montane Riparian Systems","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","SRM 203: Riparian Woodland","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",81,180,141,0.317647,0.705882,0.552941,29183,0.7
"91",9130,10060,"Mediterranean California Northern Coastal Dune",9130,2005,"Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,2237,0.1
"92",9133,2507,"Mediterranean California Serpentine Foothill and Lower Montane Riparian Woodland and Seep",9133,2152,"Tr California Montane Riparian Systems","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","SRM 203: Riparian Woodland","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",81,180,141,0.317647,0.705882,0.552941,558,0
"93",9160,4513,"North Pacific Active Volcanic Rock and Cinder Land",9160,2003,"Sps North Pacific Sparsely Vegetated Systems","Sparse","Sparsely Vegetated",700,"Sparse Vegetation","LF 33: Sparsely Vegetated","No Dominant Lifeform","Sparsely vegetated","Sparsely vegetated",100,100,100,0.392157,0.392157,0.392157,1004,0
"94",9166,353,"North Pacific Herbaceous Bald and Bluff",9166,2233,"He North Pacific Herbaceous Bald and Bluff","Herb","Grassland",688,"Prairies and Barrens","LF 60: North Pacific Grass and Shrub Balds","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",82,52,34,0.321569,0.203922,0.133333,79,0
"95",9167,1562,"North Pacific Hypermaritime Herbaceous Headland",9167,2234,"Sh North Pacific Hypermaritime Shrub and Herbaceous Headland","Herb","Grassland",609,"Pacific Coastal Scrub","SRM 204: Northern Coastal Shrub","Herbaceous / Nonvascular-dominated","Herbaceous - shrub-steppe","Perennial graminoid steppe",201,116,30,0.788235,0.454902,0.117647,347,0
"96",9170,19441,"North Pacific Lowland Mixed Hardwood-Conifer Forest",9170,2235,"Tr North Pacific Lowland Mixed Hardwood-Conifer Forest","Tree","Conifer-Hardwood",610,"Conifer-Oak Forest and Woodland","SAF 229: Pacific Douglas-Fir","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",0,130,0,0,0.509804,0,4324,0.1
